,percent_broken,percent_fail_runs,rul_score,mse
cmapss_one2three_jan,0.4,1.0,93.04677734375,41.70519256591797
cmapss_one2three_jan,0.4,1.0,231.4725390625,50.61206817626953
cmapss_one2three_jan,0.4,0.8,122.1712109375,48.75406265258789
cmapss_one2three_jan,0.4,0.8,127.16541015625,47.083343505859375
cmapss_one2three_jan,0.4,0.8,182.9350390625,51.44928741455078
cmapss_one2three_jan,0.4,0.6,97.8366015625,44.561012268066406
cmapss_one2three_jan,0.4,0.6,87.9953125,46.183834075927734
cmapss_one2three_jan,0.4,0.6,204.520859375,49.42698669433594
cmapss_one2three_jan,0.4,0.4,152.923466796875,48.07678985595703
cmapss_one2three_jan,0.4,0.4,124.42787109375,47.403076171875
cmapss_one2three_jan,0.4,0.4,225.54787109375,49.518550872802734
cmapss_one2three_jan,0.4,0.2,383.382890625,49.46525192260742
cmapss_one2three_jan,0.4,0.2,126.15154296875,46.04524612426758
cmapss_one2three_jan,0.4,0.2,306.5643359375,45.920684814453125
cmapss_one2three_jan,0.6,1.0,198.13640625,48.4989128112793
cmapss_one2three_jan,0.6,1.0,102.431123046875,48.33369445800781
cmapss_one2three_jan,0.6,1.0,366.509296875,52.75078582763672
cmapss_one2three_jan,0.6,0.8,244.403984375,45.98722457885742
cmapss_one2three_jan,0.6,0.8,162.752685546875,51.24086380004883
cmapss_one2three_jan,0.6,0.8,318.76375,50.91621398925781
cmapss_one2three_jan,0.6,0.6,253.48046875,49.2059211730957
cmapss_one2three_jan,0.6,0.6,117.28068359375,50.55353546142578
cmapss_one2three_jan,0.6,0.6,398.767421875,52.18367004394531
cmapss_one2three_jan,0.6,0.4,207.0422265625,51.09347152709961
cmapss_one2three_jan,0.6,0.4,212.71109375,48.170066833496094
cmapss_one2three_jan,0.6,0.4,388.4133984375,56.05030822753906
cmapss_one2three_jan,0.6,0.2,440.91625,50.10517120361328
cmapss_one2three_jan,0.6,0.2,142.422236328125,46.740169525146484
cmapss_one2three_jan,0.6,0.2,406.107734375,54.405433654785156
cmapss_one2three_jan,0.8,1.0,251.4364453125,49.76917266845703
cmapss_one2three_jan,0.8,1.0,450.30609375,54.09571838378906
cmapss_one2three_jan,0.8,1.0,507.0216796875,57.33308792114258
cmapss_one2three_jan,0.8,0.8,323.9373828125,49.59479522705078
cmapss_one2three_jan,0.8,0.8,335.186953125,52.27303695678711
cmapss_one2three_jan,0.8,0.8,517.6999609375,57.767086029052734
